,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,CC,632230.8500181688,436464.24714822794,195766.6028699409,0.0,69.03558204027611,30.519294290711457,76.97126914963161
1,COMP,241982.14741653358,231036.65094522186,10945.496471311748,0.0,95.47673388794637,1.7063626944981778,4.303536673358907
2,COND,,,3717.8267638472753,0.0,,0.3643726656084734,0.9189670720483989
3,DEA,8202.655360123032,6439.994781360575,1762.6605787624558,0.0,78.51109791432201,0.27479230956276246,0.6930406915090961
6,ECO,13424.092658953465,11948.717709543895,1475.3749494095687,0.0,89.00949965936404,0.23000553521423917,0.580086085485549
7,EVA,74131.35702117452,62483.06068775396,11648.29633342056,0.0,84.28695116144522,1.8159266114519808,4.579862648022931
4,GEN1,251827.804941329,248050.38786720912,3777.417074119896,0.0,98.50000000000001,0.5888854465151712,1.4852001415974934
5,GEN2,53248.97897416295,52450.24428954477,798.7346846181825,0.0,98.49999999998921,0.12451980339187808,0.31404550872110054
15,GT,509779.5039584749,493809.95235786267,15969.551600612223,0.0,96.86736099105447,2.4895944346216248,6.27888841319007
14,HC,39720.97146648153,39700.03423807878,20.937228402756155,0.0,99.94728923379826,0.0032640370006322044,0.008232073392551598
9,MIX,3090.5305987264696,1668.4453678903355,1422.0852308361339,0.0,53.9857255766327,0.22169786383429324,0.5591337002927129
10,MOT1,38.21757256737605,37.64430897886541,0.5732635885106429,0.0,98.5,8.936968771700539e-05,0.0002253950639080714
11,MOT2,462.38869502952826,455.45286460408533,6.935830425442895,0.0,98.50000000000001,0.0010812704863923663,0.0027270211702434405
12,PUMP1,37.644302234169245,30.55643831686336,7.087863917305881,0.0,81.17148280976153,0.0011049719493190818,0.0027867975092634245
13,PUMP2,455.45282573344844,397.6026951004019,57.85013063304656,0.0,87.29832655228643,0.009018622868574801,0.02274544232785113
8,SH,33353.51243060339,29008.249145801918,4345.263284801472,0.0,86.97209688532087,0.6774105849279263,1.7084652076364015
16,ST1,28464.83814839339,27469.826974469364,995.0111739240289,0.0,96.50442005418468,0.15511858710501458,0.3912172543846956
17,ST2,28779.23993564731,25779.15199970183,3000.087935945481,0.0,89.57551365965912,0.46770268918627683,1.179570838973164
TOT,TOT,641451.9320308216,339700.0601272005,254337.2417172594,47414.63018636166,52.957991575723874,39.65024178862191,100.00000011431595
