,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,CC,632038.9825581036,436504.3469863518,195534.63557175177,0.0,69.0628836246226,30.49487545873918,76.95062856950399
1,COMP,242430.91770901834,231477.2661697138,10953.651539304525,0.0,95.48174315272287,1.708291927579987,4.310695998262149
2,COND,,,3715.7144337071395,0.0,,0.3642857383791052,0.9192369578654781
3,DEA,7736.545999354509,5015.254798872407,2721.2912004821014,0.0,64.82550222400087,0.42440274585119653,1.0709359382057724
4,ECO,13419.59677649846,11944.775568181094,1474.8212083173655,0.0,89.00994394332177,0.23000778833907318,0.5804005959139239
5,EVA,74109.9755772803,62467.094574807736,11642.881002472564,0.0,84.28972495027796,1.8157816650392642,4.581935107713633
7,GEN1,251851.34491547025,248073.5747417382,3777.770173732042,0.0,98.50000000000001,0.5891673903338945,1.4867022847884737
8,GEN2,53229.255383203796,52430.81655245574,798.4388307480589,0.0,98.5,0.12452163594387214,0.31421732380408524
9,GT,510266.61791807297,494282.26262448874,15984.355293584227,0.0,96.8674503225781,2.4928623133226036,6.29047730353752
12,HC,39721.62106962945,39721.62106962945,0.0,0.0,100.0,0.0,0.0
13,MOT1,38.19460715032562,37.62168804307074,0.5729191072548856,0.0,98.5,8.93503944842484e-05,0.00022546637476185085
14,MOT2,462.24220566575775,455.3085725807714,6.933633084986359,0.0,98.5,0.0010813443704487033,0.0027286594142254825
16,PUMP1,37.62168804307076,30.538081528103916,7.083606514966847,0.0,81.17148144214778,0.0011047336848584088,0.0027876799027030247
17,PUMP2,455.3085725807714,397.4768324372762,57.8317401434952,0.0,87.29834147077564,0.009019229294499631,0.022759081746809854
6,SH,33351.97127850641,29006.70360624394,4345.267672262475,0.0,86.97148172749006,0.6776722503052687,1.7100350416468537
10,ST1,28458.671462627484,27463.964409901055,994.7070527264327,0.0,96.50473124146816,0.1551309188887467,0.39145664769825406
11,ST2,28763.766471397634,25765.290973302723,2998.475498094913,0.0,89.57551160389039,0.46763140766911293,1.180018944745938
19,dea steam inlet valve,461.7185904615705,,461.7185904615705,0.0,,0.07200796356072421,0.18170456428015083
20,drum,340842.7427226448,340835.460026513,7.282696131765842,0.0,99.99786332662578,0.00113578298234814,0.0028660295572772534
18,drum pump,3.8951641572551727,3.477261238956892,0.41790291829828086,0.0,89.27123732333871,6.517462959994795e-05,0.0001644613607714649
15,drum pump motor,3.9544813778763235,3.8951641572081788,0.05931722066814473,0.0,98.5,9.250899471310567e-06,2.334367720615287e-05
21,turbine outlet extraction,,,-1.4901161193847657e-11,0.0,,-2.3239312742127228e-15,-5.864197495902515e-15
TOT,TOT,641204.8996111435,339721.62106962944,254104.013452131,47379.265089383036,52.98175688857844,39.62914407020773,99.99999999999996
