,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,AC,29695.49544202003,27594.27341780925,2101.2220242107774,0.0,92.92410517846594,2.466356531444886,5.3103980557198565
1,APH,16240.989900951625,13683.491766284404,2557.4981346672216,0.0,84.25281863812152,3.0019208612492054,6.463540247225966
4,CC,84181.39564545454,58783.592922683616,25397.802722770928,0.0,69.82967254458639,29.81124122434539,64.18762065337553
5,DRUM,18113.54097553843,18104.37480558287,9.1661699555628,0.0,99.94939603488936,0.010758997801161655,0.023165572485706862
2,EV,15168.287954628817,10576.869135973535,4591.41881865528,0.0,69.73014467823216,5.389280933433371,11.60384827811834
6,EXP,62690.50615242488,59695.49544202003,2995.0107104048507,0.0,95.2225450164291,3.5154610708636915,7.5692615393025395
3,PH,4128.544077220953,2212.592577949845,1915.9514992711079,0.0,53.59256281549033,2.2488910927600787,4.842165653772063
8,generator_of_EXP,59695.49544202003,59695.49544202003,0.0,0.0,100.0,0.0,0.0
7,motor_of_AC,29695.49544202003,29695.49544202003,0.0,0.0,100.0,0.0,0.0
TOT,TOT,85195.38831556526,42753.646462168115,39568.07007993573,2873.671773461414,50.18305251900236,46.443910711897786,100.0
