,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%]
0,CC,632038.9836171874,436504.3478839253,195534.63573326205,0.0,69.0628836509089,30.494875433086005,76.95062835610116
1,COMP,242430.91981891976,231477.2677138355,10953.652105084271,0.0,95.48174295866801,1.7082920129688501,4.310696205403686
2,COND,,,3715.714461492488,0.0,,0.36428574048083795,0.9192369613930018
3,DEA,7736.546052105506,5015.254831563289,2721.291220542216,0.0,64.82550220454495,0.4244027482721258,1.0709359422456706
4,ECO,13419.596824292115,11944.775610610774,1474.8212136813422,0.0,89.00994394249145,0.23000778879214548,0.580400595935862
5,EVA,74109.97583975998,62467.09479670325,11642.881043056726,0.0,84.2897249511579,1.8157816683413117,4.581935107193641
7,GEN1,251851.34462899333,248073.57445955844,3777.7701694349053,0.0,98.5,0.5891673886814555,1.4867022777463865
8,GEN2,53229.255671655614,52430.81683658078,798.4388350748345,0.0,98.5,0.12452163641105518,0.31421732437590044
9,GT,510266.61980112264,494282.2644479131,15984.355353209496,0.0,96.86745032245311,2.492862318465389,6.290477304361509
12,HC,39721.62106931119,39721.62106931119,0.0,0.0,100.0,0.0,0.0
13,MOT1,38.1946074378939,37.6216883263255,0.572919111568408,0.0,98.5,8.935039500800279e-05,0.000225466375647886
14,MOT2,462.2422073074627,455.30857419785076,6.933633109611925,0.0,98.5,0.001081344372486376,0.0027286594140955274
16,PUMP1,37.6216883263255,30.53808175743042,7.0836065688950764,0.0,81.17148144056476,0.0011047336914270242,0.0027876799138924005
17,PUMP2,455.30857419785076,397.4768338490886,57.83174034876213,0.0,87.29834147080398,0.009019229311475259,0.022759081745675203
6,SH,33351.971392471685,29006.70370534438,4345.267687127307,0.0,86.97148172743955,0.6776722514937039,1.7100350413419334
10,ST1,28458.67156232491,27463.964506070406,994.7070562545061,0.0,96.50473124131574,0.15513091918033456,0.39145664767774563
11,ST2,28763.76668605724,25765.2911655852,2998.4755204720386,0.0,89.57551160389053,0.4676314103793231,1.1800189493050564
19,dea steam inlet valve,461.7185936239446,,461.7185936239446,0.0,,0.07200796393386338,0.18170456487067263
20,drum,340842.74393335363,340835.461237195,7.282696158587933,0.0,99.99786332662548,0.0011357829846376135,0.00286602955751729
18,drum pump,3.895164172923984,3.4772612456691463,0.41790292725483735,0.0,89.27123713655617,6.517463088811955e-05,0.00016446136370428945
15,drum pump motor,3.954481393831456,3.895164172923984,0.05931722090747189,0.0,98.5,9.250899493211861e-06,2.3343677216318173e-05
21,turbine outlet extraction,,,0.0,0.0,,0.0,0.0
TOT,TOT,641204.9006801746,339721.6210693112,254104.0143667115,47379.26524415187,52.981756800196436,39.62914414677182,99.99999999999997
