,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%]
0,COMP,894.0711991897439,768.2520696630413,125.81912952670257,0.0,85.9273926236829,7.747929337394092,11.054293168535766
2,COND,575.3465838090626,483.86451637983987,91.48206742922275,0.0,84.09965923086415,5.633456508137037,8.037486802130225
3,EVA,648.8576330581524,1.7961954664232707,647.0614375917291,0.0,0.27682427930416137,39.84597822503107,56.849915081276606
1,FAN,705.4128113815387,600.5572491822722,104.85556219926652,0.0,85.13557444556348,6.456994970548016,9.212463392987729
4,MOT1,716.155138458415,705.4128113815387,10.742327076876187,0.0,98.50000000000001,0.6615114205916348,0.9438058685256376
5,MOT2,907.6864966393339,894.0711991897439,13.615297449590056,0.0,98.5,0.838428647089293,1.1962210369023705
6,MOT3,0.06488298905775812,0.06390974422189175,0.0009732448358663746,0.0,98.5,5.993231907295968e-05,8.5507933339716e-05
7,PUMP,0.06390974422189175,0.05336273971315677,0.01054700450873498,0.0,83.4970322019812,0.0006494834764972097,0.0009266451002165071
8,VAL,144.60510197809862,,144.60510197809862,0.0,,8.904767630864864,12.704802496608137
TOT,TOT,1623.9065180868065,483.91787911955305,1138.1924435008302,1.7961954664232707,29.799614308444145,70.08977615545157,100.00000000000001
