,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,COMP,894.1296939287852,768.3151514569718,125.8145424718134,0.0,85.92882628481028,7.746981967228115,11.052532159729534
2,COND,575.4084908300727,483.91452603212326,91.49396479794942,0.0,84.0993022772462,5.633705623169223,8.037544535656908
3,EVA,648.9927668610162,1.7957145283123217,647.1970523327038,0.0,0.27669253341568895,39.850909085393766,56.85484439282455
1,FAN,705.5729082751727,600.6923595126,104.8805487625727,0.0,85.13540591872196,6.457979371968612,9.213526634952508
4,MOT1,716.3176733745142,705.5729082743775,10.744765100136748,0.0,98.50000000006715,0.661604770303161,0.9439040947480803
5,MOT2,907.663309122699,894.0483594866067,13.61494963609241,0.0,98.50000000008242,0.8383352770142349,1.1960435236627887
6,MOT3,0.06491052336982855,0.06393686551928113,0.0009736578505474256,0.0,98.5,5.9952606926427875e-05,8.553371092343683e-05
7,PUMP,0.06393686551949941,0.053367491234421326,0.010569374285078084,0.0,83.46904528522023,0.0006508051484567332,0.00092849639555948
8,VAL,176.48910424941138,31.914180454400142,144.57492379501124,0.0,18.08280493582174,8.902145217467625,12.700590594229558
TOT,TOT,1624.0458930205832,483.9178881790084,1138.332290316468,1.7957145251066813,29.79705747594137,70.09237207030012,99.9999999659104
